web-scraper-order,web-scraper-start-url,player-link,player-link-href,player-stats-link,player-stats-link-href,player-stats
"1613237243-1772","https://www.atptour.com/en/rankings/singles","Alejandro Davidovich Fokina","https://www.atptour.com/en/players/alejandro-davidovich-fokina/dh50/overview","Player Stats","https://www.atptour.com/en/players/alejandro-davidovich-fokina/dh50/player-stats","33%"
"1613237139-881","https://www.atptour.com/en/rankings/singles","Steve Johnson","https://www.atptour.com/en/players/steve-johnson/j386/overview","Player Stats","https://www.atptour.com/en/players/steve-johnson/j386/player-stats","59%"
"1613237234-1694","https://www.atptour.com/en/rankings/singles","Laslo Djere","https://www.atptour.com/en/players/laslo-djere/db63/overview","Player Stats","https://www.atptour.com/en/players/laslo-djere/db63/player-stats","Singles Return Record"
"1613237453-3531","https://www.atptour.com/en/rankings/singles","Andrey Rublev","https://www.atptour.com/en/players/andrey-rublev/re44/overview","Player Stats","https://www.atptour.com/en/players/andrey-rublev/re44/player-stats","Return Points Won"
"1613237234-1701","https://www.atptour.com/en/rankings/singles","Laslo Djere","https://www.atptour.com/en/players/laslo-djere/db63/overview","Player Stats","https://www.atptour.com/en/players/laslo-djere/db63/player-stats","Break Points Converted"
"1613237435-3363","https://www.atptour.com/en/rankings/singles","Denis Shapovalov","https://www.atptour.com/en/players/denis-shapovalov/su55/overview","Player Stats","https://www.atptour.com/en/players/denis-shapovalov/su55/player-stats","83%"
"1613237294-2172","https://www.atptour.com/en/rankings/singles","Marin Cilic","https://www.atptour.com/en/players/marin-cilic/c977/overview","Player Stats","https://www.atptour.com/en/players/marin-cilic/c977/player-stats","1st Serve"
"1613237153-1021","https://www.atptour.com/en/rankings/singles","Thiago Monteiro","https://www.atptour.com/en/players/thiago-monteiro/mj08/overview","Player Stats","https://www.atptour.com/en/players/thiago-monteiro/mj08/player-stats","Return Games Won"
"1613237153-1017","https://www.atptour.com/en/rankings/singles","Thiago Monteiro","https://www.atptour.com/en/players/thiago-monteiro/mj08/overview","Player Stats","https://www.atptour.com/en/players/thiago-monteiro/mj08/player-stats","Break Points Converted"
"1613237092-503","https://www.atptour.com/en/rankings/singles","Pedro Martinez","https://www.atptour.com/en/players/pedro-martinez/mo44/overview","Player Stats","https://www.atptour.com/en/players/pedro-martinez/mo44/player-stats","65%"
"1613237121-759","https://www.atptour.com/en/rankings/singles","Kevin Anderson","https://www.atptour.com/en/players/kevin-anderson/a678/overview","Player Stats","https://www.atptour.com/en/players/kevin-anderson/a678/player-stats","Total Points Won"
"1613237303-2255","https://www.atptour.com/en/rankings/singles","Miomir Kecmanovic","https://www.atptour.com/en/players/miomir-kecmanovic/ki95/overview","Player Stats","https://www.atptour.com/en/players/miomir-kecmanovic/ki95/player-stats","530"
"1613237289-2162","https://www.atptour.com/en/rankings/singles","Guido Pella","https://www.atptour.com/en/players/guido-pella/pc11/overview","Player Stats","https://www.atptour.com/en/players/guido-pella/pc11/player-stats","21%"
"1613237409-3129","https://www.atptour.com/en/rankings/singles","Stan Wawrinka","https://www.atptour.com/en/players/stan-wawrinka/w367/overview","Player Stats","https://www.atptour.com/en/players/stan-wawrinka/w367/player-stats","5,129"
"1613237069-309","https://www.atptour.com/en/rankings/singles","Federico Coria","https://www.atptour.com/en/players/federico-coria/ce77/overview","Player Stats","https://www.atptour.com/en/players/federico-coria/ce77/player-stats","38"
"1613237087-480","https://www.atptour.com/en/rankings/singles","Sebastian Korda","https://www.atptour.com/en/players/sebastian-korda/k0ah/overview","Player Stats","https://www.atptour.com/en/players/sebastian-korda/k0ah/player-stats","31%"
"1613237047-129","https://www.atptour.com/en/rankings/singles","Soonwoo Kwon","https://www.atptour.com/en/players/soonwoo-kwon/kf17/overview","Player Stats","https://www.atptour.com/en/players/soonwoo-kwon/kf17/player-stats","61%"
"1613237475-3687","https://www.atptour.com/en/rankings/singles","Dominic Thiem","https://www.atptour.com/en/players/dominic-thiem/tb69/overview","Player Stats","https://www.atptour.com/en/players/dominic-thiem/tb69/player-stats","Singles Service Record"
"1613237435-3349","https://www.atptour.com/en/rankings/singles","Denis Shapovalov","https://www.atptour.com/en/players/denis-shapovalov/su55/overview","Player Stats","https://www.atptour.com/en/players/denis-shapovalov/su55/player-stats","892"
"1613237064-300","https://www.atptour.com/en/rankings/singles","Joao Sousa","https://www.atptour.com/en/players/joao-sousa/sh90/overview","Player Stats","https://www.atptour.com/en/players/joao-sousa/sh90/player-stats","21%"
"1613237229-1636","https://www.atptour.com/en/rankings/singles","Aljaz Bedene","https://www.atptour.com/en/players/aljaz-bedene/bh09/overview","Player Stats","https://www.atptour.com/en/players/aljaz-bedene/bh09/player-stats","Aces"
"1613237316-2393","https://www.atptour.com/en/rankings/singles","Reilly Opelka","https://www.atptour.com/en/players/reilly-opelka/o522/overview","Player Stats","https://www.atptour.com/en/players/reilly-opelka/o522/player-stats","Total Points Won"
"1613237350-2629","https://www.atptour.com/en/rankings/singles","Taylor Fritz","https://www.atptour.com/en/players/taylor-fritz/fb98/overview","Player Stats","https://www.atptour.com/en/players/taylor-fritz/fb98/player-stats","59%"
"1613237335-2512","https://www.atptour.com/en/rankings/singles","Ugo Humbert","https://www.atptour.com/en/players/ugo-humbert/hh26/overview","Player Stats","https://www.atptour.com/en/players/ugo-humbert/hh26/player-stats","Double Faults"
"1613237294-2183","https://www.atptour.com/en/rankings/singles","Marin Cilic","https://www.atptour.com/en/players/marin-cilic/c977/overview","Player Stats","https://www.atptour.com/en/players/marin-cilic/c977/player-stats","9,711"
"1613237413-3161","https://www.atptour.com/en/rankings/singles","Fabio Fognini","https://www.atptour.com/en/players/fabio-fognini/f510/overview","Player Stats","https://www.atptour.com/en/players/fabio-fognini/f510/player-stats","59%"
"1613237326-2435","https://www.atptour.com/en/rankings/singles","Adrian Mannarino","https://www.atptour.com/en/players/adrian-mannarino/me82/overview","Player Stats","https://www.atptour.com/en/players/adrian-mannarino/me82/player-stats","2,031"
"1613237203-1438","https://www.atptour.com/en/rankings/singles","Vasek Pospisil","https://www.atptour.com/en/players/vasek-pospisil/pd07/overview","Player Stats","https://www.atptour.com/en/players/vasek-pospisil/pd07/player-stats","3,195"
"1613237355-2670","https://www.atptour.com/en/rankings/singles","Hubert Hurkacz","https://www.atptour.com/en/players/hubert-hurkacz/hb71/overview","Player Stats","https://www.atptour.com/en/players/hubert-hurkacz/hb71/player-stats","2nd Serve Points Won"
"1613237102-608","https://www.atptour.com/en/rankings/singles","Radu Albot","https://www.atptour.com/en/players/radu-albot/a829/overview","Player Stats","https://www.atptour.com/en/players/radu-albot/a829/player-stats","49%"
"1613237409-3127","https://www.atptour.com/en/rankings/singles","Stan Wawrinka","https://www.atptour.com/en/players/stan-wawrinka/w367/overview","Player Stats","https://www.atptour.com/en/players/stan-wawrinka/w367/player-stats","54%"
"1613237203-1428","https://www.atptour.com/en/rankings/singles","Vasek Pospisil","https://www.atptour.com/en/players/vasek-pospisil/pd07/overview","Player Stats","https://www.atptour.com/en/players/vasek-pospisil/pd07/player-stats","Singles Return Record"
"1613237457-3567","https://www.atptour.com/en/rankings/singles","Alexander Zverev","https://www.atptour.com/en/players/alexander-zverev/z355/overview","Player Stats","https://www.atptour.com/en/players/alexander-zverev/z355/player-stats","Return Games Won"
"1613237335-2518","https://www.atptour.com/en/rankings/singles","Ugo Humbert","https://www.atptour.com/en/players/ugo-humbert/hh26/overview","Player Stats","https://www.atptour.com/en/players/ugo-humbert/hh26/player-stats","2nd Serve Points Won"
"1613237330-2487","https://www.atptour.com/en/rankings/singles","Lorenzo Sonego","https://www.atptour.com/en/players/lorenzo-sonego/su87/overview","Player Stats","https://www.atptour.com/en/players/lorenzo-sonego/su87/player-stats","1,033"
"1613237130-828","https://www.atptour.com/en/rankings/singles","Egor Gerasimov","https://www.atptour.com/en/players/egor-gerasimov/gc89/overview","Player Stats","https://www.atptour.com/en/players/egor-gerasimov/gc89/player-stats","35%"
"1613237444-3436","https://www.atptour.com/en/rankings/singles","Matteo Berrettini","https://www.atptour.com/en/players/matteo-berrettini/bk40/overview","Player Stats","https://www.atptour.com/en/players/matteo-berrettini/bk40/player-stats","Service Games Played"
"1613237422-3261","https://www.atptour.com/en/rankings/singles","David Goffin","https://www.atptour.com/en/players/david-goffin/gb88/overview","Player Stats","https://www.atptour.com/en/players/david-goffin/gb88/player-stats","Return Games Played"
"1613237116-714","https://www.atptour.com/en/rankings/singles","Marco Cecchinato","https://www.atptour.com/en/players/marco-cecchinato/cf01/overview","Player Stats","https://www.atptour.com/en/players/marco-cecchinato/cf01/player-stats","36%"
"1613237457-3569","https://www.atptour.com/en/rankings/singles","Alexander Zverev","https://www.atptour.com/en/players/alexander-zverev/z355/overview","Player Stats","https://www.atptour.com/en/players/alexander-zverev/z355/player-stats","Return Points Won"
"1613237471-3677","https://www.atptour.com/en/rankings/singles","Daniil Medvedev","https://www.atptour.com/en/players/daniil-medvedev/mm58/overview","Player Stats","https://www.atptour.com/en/players/daniil-medvedev/mm58/player-stats","Break Points Converted"
"1613237083-431","https://www.atptour.com/en/rankings/singles","Norbert Gombos","https://www.atptour.com/en/players/norbert-gombos/gb93/overview","Player Stats","https://www.atptour.com/en/players/norbert-gombos/gb93/player-stats","312"
"1613237276-2045","https://www.atptour.com/en/rankings/singles","Nick Kyrgios","https://www.atptour.com/en/players/nick-kyrgios/ke17/overview","Player Stats","https://www.atptour.com/en/players/nick-kyrgios/ke17/player-stats","Return Games Played"
"1613237466-3632","https://www.atptour.com/en/rankings/singles","Roger Federer","https://www.atptour.com/en/players/roger-federer/f324/overview","Player Stats","https://www.atptour.com/en/players/roger-federer/f324/player-stats","Singles Return Record"
"1613237386-2959","https://www.atptour.com/en/rankings/singles","Alex de Minaur","https://www.atptour.com/en/players/alex-de-minaur/dh58/overview","Player Stats","https://www.atptour.com/en/players/alex-de-minaur/dh58/player-stats","Return Games Won"
"1613237189-1326","https://www.atptour.com/en/rankings/singles","Gilles Simon","https://www.atptour.com/en/players/gilles-simon/sd32/overview","Player Stats","https://www.atptour.com/en/players/gilles-simon/sd32/player-stats","27%"
"1613237462-3594","https://www.atptour.com/en/rankings/singles","Stefanos Tsitsipas","https://www.atptour.com/en/players/stefanos-tsitsipas/te51/overview","Player Stats","https://www.atptour.com/en/players/stefanos-tsitsipas/te51/player-stats","Singles Return Record"
"1613237184-1278","https://www.atptour.com/en/rankings/singles","Fernando Verdasco","https://www.atptour.com/en/players/fernando-verdasco/v306/overview","Player Stats","https://www.atptour.com/en/players/fernando-verdasco/v306/player-stats","30%"
"1613237373-2820","https://www.atptour.com/en/rankings/singles","Daniel Evans","https://www.atptour.com/en/players/daniel-evans/e687/overview","Player Stats","https://www.atptour.com/en/players/daniel-evans/e687/player-stats","1st Serve Points Won"
"1613237435-3379","https://www.atptour.com/en/rankings/singles","Denis Shapovalov","https://www.atptour.com/en/players/denis-shapovalov/su55/overview","Player Stats","https://www.atptour.com/en/players/denis-shapovalov/su55/player-stats","Return Points Won"
"1613237166-1109","https://www.atptour.com/en/rankings/singles","Corentin Moutet","https://www.atptour.com/en/players/corentin-moutet/mw02/overview","Player Stats","https://www.atptour.com/en/players/corentin-moutet/mw02/player-stats","68%"
"1613237373-2823","https://www.atptour.com/en/rankings/singles","Daniel Evans","https://www.atptour.com/en/players/daniel-evans/e687/overview","Player Stats","https://www.atptour.com/en/players/daniel-evans/e687/player-stats","51%"
"1613237413-3185","https://www.atptour.com/en/rankings/singles","Fabio Fognini","https://www.atptour.com/en/players/fabio-fognini/f510/overview","Player Stats","https://www.atptour.com/en/players/fabio-fognini/f510/player-stats","Return Games Played"
"1613237386-2930","https://www.atptour.com/en/rankings/singles","Alex de Minaur","https://www.atptour.com/en/players/alex-de-minaur/dh58/overview","Player Stats","https://www.atptour.com/en/players/alex-de-minaur/dh58/player-stats","Double Faults"
"1613237303-2264","https://www.atptour.com/en/rankings/singles","Miomir Kecmanovic","https://www.atptour.com/en/players/miomir-kecmanovic/ki95/overview","Player Stats","https://www.atptour.com/en/players/miomir-kecmanovic/ki95/player-stats","Singles Return Record"
"1613237096-540","https://www.atptour.com/en/rankings/singles","Emil Ruusuvuori","https://www.atptour.com/en/players/emil-ruusuvuori/rh24/overview","Player Stats","https://www.atptour.com/en/players/emil-ruusuvuori/rh24/player-stats","1st Serve Points Won"
"1613237386-2938","https://www.atptour.com/en/rankings/singles","Alex de Minaur","https://www.atptour.com/en/players/alex-de-minaur/dh58/overview","Player Stats","https://www.atptour.com/en/players/alex-de-minaur/dh58/player-stats","Break Points Faced"
"1613237166-1121","https://www.atptour.com/en/rankings/singles","Corentin Moutet","https://www.atptour.com/en/players/corentin-moutet/mw02/overview","Player Stats","https://www.atptour.com/en/players/corentin-moutet/mw02/player-stats","70%"
"1613237453-3534","https://www.atptour.com/en/rankings/singles","Andrey Rublev","https://www.atptour.com/en/players/andrey-rublev/re44/overview","Player Stats","https://www.atptour.com/en/players/andrey-rublev/re44/player-stats","51%"
"1613237042-109","https://www.atptour.com/en/rankings/singles","Dennis Novak","https://www.atptour.com/en/players/dennis-novak/db59/overview","Player Stats","https://www.atptour.com/en/players/dennis-novak/db59/player-stats","Return Games Won"
"1613237466-3634","https://www.atptour.com/en/rankings/singles","Roger Federer","https://www.atptour.com/en/players/roger-federer/f324/overview","Player Stats","https://www.atptour.com/en/players/roger-federer/f324/player-stats","33%"
"1613237280-2072","https://www.atptour.com/en/rankings/singles","Albert Ramos-Vinolas","https://www.atptour.com/en/players/albert-ramos-vinolas/r772/overview","Player Stats","https://www.atptour.com/en/players/albert-ramos-vinolas/r772/player-stats","Total Service Points Won"
"1613237253-1850","https://www.atptour.com/en/rankings/singles","Sam Querrey","https://www.atptour.com/en/players/sam-querrey/q927/overview","Player Stats","https://www.atptour.com/en/players/sam-querrey/q927/player-stats","46%"
"1613237051-186","https://www.atptour.com/en/rankings/singles","Gianluca Mager","https://www.atptour.com/en/players/gianluca-mager/ml57/overview","Player Stats","https://www.atptour.com/en/players/gianluca-mager/ml57/player-stats","19%"
"1613237271-2012","https://www.atptour.com/en/rankings/singles","Richard Gasquet","https://www.atptour.com/en/players/richard-gasquet/g628/overview","Player Stats","https://www.atptour.com/en/players/richard-gasquet/g628/player-stats","38%"
"1613237144-947","https://www.atptour.com/en/rankings/singles","Lucas Pouille","https://www.atptour.com/en/players/lucas-pouille/pf39/overview","Player Stats","https://www.atptour.com/en/players/lucas-pouille/pf39/player-stats","Return Points Won"
"1613237312-2331","https://www.atptour.com/en/rankings/singles","John Millman","https://www.atptour.com/en/players/john-millman/mh30/overview","Player Stats","https://www.atptour.com/en/players/john-millman/mh30/player-stats","1,387"
"1613237135-864","https://www.atptour.com/en/rankings/singles","Salvatore Caruso","https://www.atptour.com/en/players/salvatore-caruso/ce25/overview","Player Stats","https://www.atptour.com/en/players/salvatore-caruso/ce25/player-stats","307"
"1613237471-3686","https://www.atptour.com/en/rankings/singles","Daniil Medvedev","https://www.atptour.com/en/players/daniil-medvedev/mm58/overview","Player Stats","https://www.atptour.com/en/players/daniil-medvedev/mm58/player-stats","52%"
"1613237198-1384","https://www.atptour.com/en/rankings/singles","Frances Tiafoe","https://www.atptour.com/en/players/frances-tiafoe/td51/overview","Player Stats","https://www.atptour.com/en/players/frances-tiafoe/td51/player-stats","Service Games Played"
"1613237355-2686","https://www.atptour.com/en/rankings/singles","Hubert Hurkacz","https://www.atptour.com/en/players/hubert-hurkacz/hb71/overview","Player Stats","https://www.atptour.com/en/players/hubert-hurkacz/hb71/player-stats","48%"
"1613237413-3168","https://www.atptour.com/en/rankings/singles","Fabio Fognini","https://www.atptour.com/en/players/fabio-fognini/f510/overview","Player Stats","https://www.atptour.com/en/players/fabio-fognini/f510/player-stats","Break Points Saved"
"1613237364-2744","https://www.atptour.com/en/rankings/singles","Casper Ruud","https://www.atptour.com/en/players/casper-ruud/rh16/overview","Player Stats","https://www.atptour.com/en/players/casper-ruud/rh16/player-stats","1st Serve Points Won"
"1613237435-3377","https://www.atptour.com/en/rankings/singles","Denis Shapovalov","https://www.atptour.com/en/players/denis-shapovalov/su55/overview","Player Stats","https://www.atptour.com/en/players/denis-shapovalov/su55/player-stats","Return Games Won"
"1613237364-2740","https://www.atptour.com/en/rankings/singles","Casper Ruud","https://www.atptour.com/en/players/casper-ruud/rh16/overview","Player Stats","https://www.atptour.com/en/players/casper-ruud/rh16/player-stats","Double Faults"
"1613237243-1773","https://www.atptour.com/en/rankings/singles","Alejandro Davidovich Fokina","https://www.atptour.com/en/players/alejandro-davidovich-fokina/dh50/overview","Player Stats","https://www.atptour.com/en/players/alejandro-davidovich-fokina/dh50/player-stats","2nd Serve Return Points Won"
"1613237253-1832","https://www.atptour.com/en/rankings/singles","Sam Querrey","https://www.atptour.com/en/players/sam-querrey/q927/overview","Player Stats","https://www.atptour.com/en/players/sam-querrey/q927/player-stats","1st Serve Points Won"
"1613237339-2555","https://www.atptour.com/en/rankings/singles","Filip Krajinovic","https://www.atptour.com/en/players/filip-krajinovic/kb05/overview","Player Stats","https://www.atptour.com/en/players/filip-krajinovic/kb05/player-stats","68%"
"1613237422-3231","https://www.atptour.com/en/rankings/singles","David Goffin","https://www.atptour.com/en/players/david-goffin/gb88/overview","Player Stats","https://www.atptour.com/en/players/david-goffin/gb88/player-stats","Singles Service Record"
"1613237144-929","https://www.atptour.com/en/rankings/singles","Lucas Pouille","https://www.atptour.com/en/players/lucas-pouille/pf39/overview","Player Stats","https://www.atptour.com/en/players/lucas-pouille/pf39/player-stats","3,010"
"1613237248-1787","https://www.atptour.com/en/rankings/singles","Tommy Paul","https://www.atptour.com/en/players/tommy-paul/pl56/overview","Player Stats","https://www.atptour.com/en/players/tommy-paul/pl56/player-stats","Singles Service Record"
"1613237422-3250","https://www.atptour.com/en/rankings/singles","David Goffin","https://www.atptour.com/en/players/david-goffin/gb88/overview","Player Stats","https://www.atptour.com/en/players/david-goffin/gb88/player-stats","Total Service Points Won"
"1613237400-3049","https://www.atptour.com/en/rankings/singles","Karen Khachanov","https://www.atptour.com/en/players/karen-khachanov/ke29/overview","Player Stats","https://www.atptour.com/en/players/karen-khachanov/ke29/player-stats","74%"
"1613237096-561","https://www.atptour.com/en/rankings/singles","Emil Ruusuvuori","https://www.atptour.com/en/players/emil-ruusuvuori/rh24/overview","Player Stats","https://www.atptour.com/en/players/emil-ruusuvuori/rh24/player-stats","Break Points Converted"
"1613237069-325","https://www.atptour.com/en/rankings/singles","Federico Coria","https://www.atptour.com/en/players/federico-coria/ce77/overview","Player Stats","https://www.atptour.com/en/players/federico-coria/ce77/player-stats","57%"
"1613237335-2517","https://www.atptour.com/en/rankings/singles","Ugo Humbert","https://www.atptour.com/en/players/ugo-humbert/hh26/overview","Player Stats","https://www.atptour.com/en/players/ugo-humbert/hh26/player-stats","75%"
"1613237413-3158","https://www.atptour.com/en/rankings/singles","Fabio Fognini","https://www.atptour.com/en/players/fabio-fognini/f510/overview","Player Stats","https://www.atptour.com/en/players/fabio-fognini/f510/player-stats","Double Faults"
"1613237184-1258","https://www.atptour.com/en/rankings/singles","Fernando Verdasco","https://www.atptour.com/en/players/fernando-verdasco/v306/overview","Player Stats","https://www.atptour.com/en/players/fernando-verdasco/v306/player-stats","Double Faults"
"1613237457-3547","https://www.atptour.com/en/rankings/singles","Alexander Zverev","https://www.atptour.com/en/players/alexander-zverev/z355/overview","Player Stats","https://www.atptour.com/en/players/alexander-zverev/z355/player-stats","2,212"
"1613237444-3445","https://www.atptour.com/en/rankings/singles","Matteo Berrettini","https://www.atptour.com/en/players/matteo-berrettini/bk40/overview","Player Stats","https://www.atptour.com/en/players/matteo-berrettini/bk40/player-stats","2nd Serve Return Points Won"
"1613237047-116","https://www.atptour.com/en/rankings/singles","Soonwoo Kwon","https://www.atptour.com/en/players/soonwoo-kwon/kf17/overview","Player Stats","https://www.atptour.com/en/players/soonwoo-kwon/kf17/player-stats","Aces"
"1613237248-1818","https://www.atptour.com/en/rankings/singles","Tommy Paul","https://www.atptour.com/en/players/tommy-paul/pl56/overview","Player Stats","https://www.atptour.com/en/players/tommy-paul/pl56/player-stats","730"
"1613237074-359","https://www.atptour.com/en/rankings/singles","Lloyd Harris","https://www.atptour.com/en/players/lloyd-harris/hg86/overview","Player Stats","https://www.atptour.com/en/players/lloyd-harris/hg86/player-stats","605"
"1613237400-3050","https://www.atptour.com/en/rankings/singles","Karen Khachanov","https://www.atptour.com/en/players/karen-khachanov/ke29/overview","Player Stats","https://www.atptour.com/en/players/karen-khachanov/ke29/player-stats","2nd Serve Points Won"
"1613237207-1464","https://www.atptour.com/en/rankings/singles","Jo-Wilfried Tsonga","https://www.atptour.com/en/players/jo-wilfried-tsonga/t786/overview","Player Stats","https://www.atptour.com/en/players/jo-wilfried-tsonga/t786/player-stats","Total Service Points Won"
"1613237355-2666","https://www.atptour.com/en/rankings/singles","Hubert Hurkacz","https://www.atptour.com/en/players/hubert-hurkacz/hb71/overview","Player Stats","https://www.atptour.com/en/players/hubert-hurkacz/hb71/player-stats","1st Serve"
"1613237298-2218","https://www.atptour.com/en/rankings/singles","Kei Nishikori","https://www.atptour.com/en/players/kei-nishikori/n552/overview","Player Stats","https://www.atptour.com/en/players/kei-nishikori/n552/player-stats","Break Points Saved"
"1613237285-2126","https://www.atptour.com/en/rankings/singles","Alexander Bublik","https://www.atptour.com/en/players/alexander-bublik/bk92/overview","Player Stats","https://www.atptour.com/en/players/alexander-bublik/bk92/player-stats","35%"
"1613237175-1211","https://www.atptour.com/en/rankings/singles","Cameron Norrie","https://www.atptour.com/en/players/cameron-norrie/n771/overview","Player Stats","https://www.atptour.com/en/players/cameron-norrie/n771/player-stats","Return Games Won"
"1613237276-2038","https://www.atptour.com/en/rankings/singles","Nick Kyrgios","https://www.atptour.com/en/players/nick-kyrgios/ke17/overview","Player Stats","https://www.atptour.com/en/players/nick-kyrgios/ke17/player-stats","24%"
"1613237377-2857","https://www.atptour.com/en/rankings/singles","Borna Coric","https://www.atptour.com/en/players/borna-coric/cg80/overview","Player Stats","https://www.atptour.com/en/players/borna-coric/cg80/player-stats","62%"
"1613237198-1378","https://www.atptour.com/en/rankings/singles","Frances Tiafoe","https://www.atptour.com/en/players/frances-tiafoe/td51/overview","Player Stats","https://www.atptour.com/en/players/frances-tiafoe/td51/player-stats","2nd Serve Points Won"
"1613237180-1225","https://www.atptour.com/en/rankings/singles","Jiri Vesely","https://www.atptour.com/en/players/jiri-vesely/v708/overview","Player Stats","https://www.atptour.com/en/players/jiri-vesely/v708/player-stats","72%"
"1613237280-2083","https://www.atptour.com/en/rankings/singles","Albert Ramos-Vinolas","https://www.atptour.com/en/players/albert-ramos-vinolas/r772/overview","Player Stats","https://www.atptour.com/en/players/albert-ramos-vinolas/r772/player-stats","Return Games Played"
"1613237391-2983","https://www.atptour.com/en/rankings/singles","Cristian Garin","https://www.atptour.com/en/players/cristian-garin/gd64/overview","Player Stats","https://www.atptour.com/en/players/cristian-garin/gd64/player-stats","76%"
"1613237359-2713","https://www.atptour.com/en/rankings/singles","Benoit Paire","https://www.atptour.com/en/players/benoit-paire/pd31/overview","Player Stats","https://www.atptour.com/en/players/benoit-paire/pd31/player-stats","60%"
"1613237220-1571","https://www.atptour.com/en/rankings/singles","Pablo Andujar","https://www.atptour.com/en/players/pablo-andujar/a596/overview","Player Stats","https://www.atptour.com/en/players/pablo-andujar/a596/player-stats","2,761"
"1613237047-149","https://www.atptour.com/en/rankings/singles","Soonwoo Kwon","https://www.atptour.com/en/players/soonwoo-kwon/kf17/overview","Player Stats","https://www.atptour.com/en/players/soonwoo-kwon/kf17/player-stats","Return Points Won"
"1613237116-711","https://www.atptour.com/en/rankings/singles","Marco Cecchinato","https://www.atptour.com/en/players/marco-cecchinato/cf01/overview","Player Stats","https://www.atptour.com/en/players/marco-cecchinato/cf01/player-stats","Break Points Opportunities"
"1613237426-3273","https://www.atptour.com/en/rankings/singles","Milos Raonic","https://www.atptour.com/en/players/milos-raonic/r975/overview","Player Stats","https://www.atptour.com/en/players/milos-raonic/r975/player-stats","1,660"
"1613237316-2388","https://www.atptour.com/en/rankings/singles","Reilly Opelka","https://www.atptour.com/en/players/reilly-opelka/o522/overview","Player Stats","https://www.atptour.com/en/players/reilly-opelka/o522/player-stats","1,256"
"1613237335-2534","https://www.atptour.com/en/rankings/singles","Ugo Humbert","https://www.atptour.com/en/players/ugo-humbert/hh26/overview","Player Stats","https://www.atptour.com/en/players/ugo-humbert/hh26/player-stats","48%"
"1613237083-427","https://www.atptour.com/en/rankings/singles","Norbert Gombos","https://www.atptour.com/en/players/norbert-gombos/gb93/overview","Player Stats","https://www.atptour.com/en/players/norbert-gombos/gb93/player-stats","71%"
"1613237107-625","https://www.atptour.com/en/rankings/singles","Pierre-Hugues Herbert","https://www.atptour.com/en/players/pierre-hugues-herbert/h996/overview","Player Stats","https://www.atptour.com/en/players/pierre-hugues-herbert/h996/player-stats","2,549"
"1613237484-3784","https://www.atptour.com/en/rankings/singles","Novak Djokovic","https://www.atptour.com/en/players/novak-djokovic/d643/overview","Player Stats","https://www.atptour.com/en/players/novak-djokovic/d643/player-stats","Singles Return Record"
"1613237092-514","https://www.atptour.com/en/rankings/singles","Pedro Martinez","https://www.atptour.com/en/players/pedro-martinez/mo44/overview","Player Stats","https://www.atptour.com/en/players/pedro-martinez/mo44/player-stats","Total Service Points Won"
"1613237377-2871","https://www.atptour.com/en/rankings/singles","Borna Coric","https://www.atptour.com/en/players/borna-coric/cg80/overview","Player Stats","https://www.atptour.com/en/players/borna-coric/cg80/player-stats","65%"
"1613237248-1812","https://www.atptour.com/en/rankings/singles","Tommy Paul","https://www.atptour.com/en/players/tommy-paul/pl56/overview","Player Stats","https://www.atptour.com/en/players/tommy-paul/pl56/player-stats","51%"
"1613237234-1675","https://www.atptour.com/en/rankings/singles","Laslo Djere","https://www.atptour.com/en/players/laslo-djere/db63/overview","Player Stats","https://www.atptour.com/en/players/laslo-djere/db63/player-stats","519"
"1613237111-675","https://www.atptour.com/en/rankings/singles","Juan Ignacio Londero","https://www.atptour.com/en/players/juan-ignacio-londero/lb84/overview","Player Stats","https://www.atptour.com/en/players/juan-ignacio-londero/lb84/player-stats","Break Points Converted"
"1613237418-3216","https://www.atptour.com/en/rankings/singles","Pablo Carreno Busta","https://www.atptour.com/en/players/pablo-carreno-busta/cd85/overview","Player Stats","https://www.atptour.com/en/players/pablo-carreno-busta/cd85/player-stats","29%"
"1613237368-2796","https://www.atptour.com/en/rankings/singles","Dusan Lajovic","https://www.atptour.com/en/players/dusan-lajovic/l987/overview","Player Stats","https://www.atptour.com/en/players/dusan-lajovic/l987/player-stats","Singles Return Record"
"1613237368-2804","https://www.atptour.com/en/rankings/singles","Dusan Lajovic","https://www.atptour.com/en/players/dusan-lajovic/l987/overview","Player Stats","https://www.atptour.com/en/players/dusan-lajovic/l987/player-stats","40%"
"1613237038-46","https://www.atptour.com/en/rankings/singles","Roberto Carballes Baena","https://www.atptour.com/en/players/roberto-carballes-baena/cf59/overview","Player Stats","https://www.atptour.com/en/players/roberto-carballes-baena/cf59/player-stats","1st Serve Points Won"
"1613237422-3252","https://www.atptour.com/en/rankings/singles","David Goffin","https://www.atptour.com/en/players/david-goffin/gb88/overview","Player Stats","https://www.atptour.com/en/players/david-goffin/gb88/player-stats","Singles Return Record"
"1613237042-84","https://www.atptour.com/en/rankings/singles","Dennis Novak","https://www.atptour.com/en/players/dennis-novak/db59/overview","Player Stats","https://www.atptour.com/en/players/dennis-novak/db59/player-stats","1st Serve Points Won"
"1613237373-2828","https://www.atptour.com/en/rankings/singles","Daniel Evans","https://www.atptour.com/en/players/daniel-evans/e687/overview","Player Stats","https://www.atptour.com/en/players/daniel-evans/e687/player-stats","Service Games Played"
